ID,Soil,Plant,Tray,Date,Week,Presence,Leaves,Flowering,Adj.Week,root.length,root.dry,shoot.height,plant.height,shoot.wet,shoot.root,shoot.dry,plant.moist,pm.percent,sample,site,location,wt,grp1,grp2,grp3,grp4,grp5,plant.biomass
230,SS,Trifolium,1,12/12/16,15,1,9,0,11,3.6,0.05,4.5,8.1,0.03,1.25,0.0064,0.0236,78.6666667,g-ss-tri-9,.,greenhouse,0.03,tri.ss,g.ss,g.tri,g.tri.ss,sample,0.0564
235,SS,Trifolium,3,11/28/16,13,1,24,.,11,11.7,0.13,13.8,25.5,0.31,1.17948718,0.0856,0.2244,72.3870968,g-ss-tri-8,.,greenhouse,0.03,tri.ss,g.ss,g.tri,g.tri.ss,sample,0.2156
239,SS,Trifolium,4,11/28/16,13,1,52,1,11,13.5,0.35,19.5,33,1.25,1.44444444,0.23,1.02,81.6,g-ss-tri-7,.,greenhouse,0.18,tri.ss,g.ss,g.tri,g.tri.ss,sample,0.58
233,SS,Trifolium,2,11/21/16,11,1,9,0,11,11,1.13,17,28,2.69,1.54545455,0.56,2.13,79.1821561,g-ss-tri-6,.,greenhouse,0.25,tri.ss,g.ss,g.tri,g.tri.ss,sample,1.69
242,SS,Trifolium,6,11/21/16,11,1,7,0,11,15,2.87,24,39,2.915,1.6,0.72,2.195,75.3001715,g-ss-tri-5,.,greenhouse,0.25,tri.ss,g.ss,g.tri,g.tri.ss,sample,3.59
249,SS,Trifolium,5,11/21/16,11,1,15,0,11,11.5,0.42,21,32.5,3.501,1.82608696,0.76,2.741,78.2919166,g-ss-tri-4,.,greenhouse,0.24,tri.ss,g.ss,g.tri,g.tri.ss,sample,1.18
232,SS,Trifolium,2,11/21/16,11,1,6,0,11,12.5,0.1,13,25.5,0.63,1.04,0.07,0.56,88.8888889,g-ss-tri-3,.,greenhouse,0.25,tri.ss,g.ss,g.tri,g.tri.ss,sample,0.17
251,SS,Trifolium,7,11/21/16,11,1,4,0,11,11.2,0.22,20.3,31.5,1.719,1.8125,.,.,.,g-ss-tri-2,.,greenhouse,0.25,tri.ss,g.ss,g.tri,g.tri.ss,sample,.
241,SS,Trifolium,6,11/28/16,13,1,75,.,11,13.1,0.11,12.6,25.7,0.77,0.96183206,0.05,0.72,93.5064935,g-ss-tri-10,.,greenhouse,0.43,tri.ss,g.ss,g.tri,g.tri.ss,sample,0.16
245,SS,Trifolium,8,11/21/16,11,1,9,0,11,12,0.19,15,27,1.636,1.25,0.28,1.356,82.8850856,g-ss-tri-1,.,greenhouse,0.3,tri.ss,g.ss,g.tri,g.tri.ss,sample,0.47
216,SS,Plantago,4,12/12/16,15,1,10,0,11,17,0,5.5,22.5,0.11,0.32352941,0.0218,0.0882,80.1818182,g-ss-pla-9,.,greenhouse,0.01,pla.ss,g.ss,g.pla,g.pla.ss,sample,0.0218
221,SS,Plantago,8,12/12/16,15,1,15,0,11,15.6,0.01,8.4,24,0.31,0.53846154,0.05,0.26,83.8709677,g-ss-pla-8,.,greenhouse,0.19,pla.ss,g.ss,g.pla,g.pla.ss,sample,0.06
222,SS,Plantago,8,11/21/16,11,1,15,0,11,10.5,0.41,7,17.5,0.06,0.66666667,0.0174,0.0426,71,g-ss-pla-7,.,greenhouse,0.16,pla.ss,g.ss,g.pla,g.pla.ss,sample,0.4274
219,SS,Plantago,6,11/21/16,11,1,111,1,11,7,0.44,4.5,11.5,0.026,0.64285714,0.0126,0.0134,51.5384615,g-ss-pla-6,.,greenhouse,0.11,pla.ss,g.ss,g.pla,g.pla.ss,sample,0.4526
206,SS,Plantago,1,11/21/16,11,1,7,0,11,5.2,0.43,3.5,8.7,0.016,0.67307692,.,.,.,g-ss-pla-5,.,greenhouse,0.22,pla.ss,g.ss,g.pla,g.pla.ss,sample,.
207,SS,Plantago,1,11/21/16,11,1,2,0,11,14.5,0.45,5.5,20,0.046,0.37931034,0.028,0.018,39.1304348,g-ss-pla-4,.,greenhouse,0.22,pla.ss,g.ss,g.pla,g.pla.ss,sample,0.478
210,SS,Plantago,2,11/21/16,11,0,.,.,11,10.5,0.44,10,20.5,0.098,0.95238095,0.027,0.071,72.4489796,g-ss-pla-3,.,greenhouse,0.23,pla.ss,g.ss,g.pla,g.pla.ss,sample,0.467
214,SS,Plantago,4,11/21/16,11,1,5,0,11,13.3,0.48,7.3,20.6,0.101,0.54887218,0.0207,0.0803,79.5049505,g-ss-pla-2,.,greenhouse,0.19,pla.ss,g.ss,g.pla,g.pla.ss,sample,0.5007
