sample	plant	soil	site	location	wt	grp1	grp2	grp3	grp4	grp5	ID	Soil	Plant	Tray	Date	Week	Presence	Leaves	Flowering	Adj.Week	root.length	root.dry	shoot.height	plant.height	shoot.wet	shoot.root	shoot.dry	plant.moist	pm.percent	lat_lon	plot
f-control-1	.	.	.	field	0.4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
f-control-2	.	.	.	field	0.38	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-a-1	Bulk	Autoclaved	.	greenhouse	0.24	bulk.auto	g.auto	g.bulk	g.bulk.auto	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-a-2	Bulk	Autoclaved	.	greenhouse	0.2	bulk.auto	g.auto	g.bulk	g.bulk.auto	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-a-3	Bulk	Autoclaved	.	greenhouse	0.23	bulk.auto	g.auto	g.bulk	g.bulk.auto	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-a-4	Bulk	Autoclaved	.	greenhouse	0.25	bulk.auto	g.auto	g.bulk	g.bulk.auto	sample	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
g-a-gil-1	Gilia	Autoclaved	.	greenhouse	0.25	gil.auto	g.auto	g.gil	g.gil.auto	sample	110	Autoclaved	Gilia	5	11/21/16	11	1	14	0	11	16	0.65	5.7	21.7	0.934	0.35625	0.11	0.824	88.2226981	.	.
g-a-gil-10	Gilia	Autoclaved	.	greenhouse	0.25	gil.auto	g.auto	g.gil	g.gil.auto	sample	103	Autoclaved	Gilia	6	11/28/16	13	1	16	.	11	13.3	3.22	11.5	24.8	2.19	0.86466165	0.31	1.88	85.8447489	.	.
g-a-gil-2	Gilia	Autoclaved	.	greenhouse	0.24	gil.auto	g.auto	g.gil	g.gil.auto	sample	106	Autoclaved	Gilia	8	11/21/16	11	1	1	0	11	13.5	0.97	14.5	28	3.624	1.07407407	0.62	3.004	82.8918322	.	.
g-a-gil-3	Gilia	Autoclaved	.	greenhouse	0.24	gil.auto	g.auto	g.gil	g.gil.auto	sample	94	Autoclaved	Gilia	2	11/21/16	11	1	1	0	11	11.5	1.06	12	23.5	2.738	1.04347826	0.45	2.288	83.5646457	.	.
g-a-gil-4	Gilia	Autoclaved	.	greenhouse	0.23	gil.auto	g.auto	g.gil	g.gil.auto	sample	100	Autoclaved	Gilia	4	11/21/16	11	1	4	0	11	12	1.64	22.2	34.2	3.397	1.85	0.63	2.767	81.4542243	.	.
g-a-gil-5	Gilia	Autoclaved	.	greenhouse	0.21	gil.auto	g.auto	g.gil	g.gil.auto	sample	91	Autoclaved	Gilia	1	11/21/16	11	1	21	0	11	13.5	0.46	8.5	22	1.489	0.62962963	0.27	1.219	81.8670249	.	.
g-a-gil-6	Gilia	Autoclaved	.	greenhouse	0.25	gil.auto	g.auto	g.gil	g.gil.auto	sample	92	Autoclaved	Gilia	1	11/21/16	11	0	.	.	11	15	0.48	7.5	22.5	0.959	0.5	0.13	0.829	86.4442127	.	.
g-a-gil-7	Gilia	Autoclaved	.	greenhouse	0.24	gil.auto	g.auto	g.gil	g.gil.auto	sample	97	Autoclaved	Gilia	3	11/21/16	11	1	22	0	11	11	0.44	12	23	1.079	1.09090909	0.1976	0.8814	81.686747	.	.
g-a-gil-8	Gilia	Autoclaved	.	greenhouse	0.23	gil.auto	g.auto	g.gil	g.gil.auto	sample	95	Autoclaved	Gilia	2	11/21/16	11	0	.	.	11	12	8.22	12.5	24.5	2.488	1.04166667	0.53	1.958	78.6977492	.	.
g-a-gil-9	Gilia	Autoclaved	.	greenhouse	0.23	gil.auto	g.auto	g.gil	g.gil.auto	sample	99	Autoclaved	Gilia	3	11/28/16	13	1	16	.	11	12.5	0.4	15	27.5	1.41	1.2	0.12	1.29	91.4893617	.	.
g-a-pla-1	Plantago	Autoclaved	.	greenhouse	0.04	pla.auto	g.auto	g.pla	g.pla.auto	sample	132	Autoclaved	Plantago	8	11/21/16	11	0	.	.	11	4	0.43	5.5	9.5	0.0347	1.375	0.0166	0.0181	52.1613833	.	.
g-a-pla-10	Plantago	Autoclaved	.	greenhouse	0.21	pla.auto	g.auto	g.pla	g.pla.auto	sample	127	Autoclaved	Plantago	6	12/12/16	15	1	17	0	11	16	0.13	7.5	23.5	0.28	0.46875	0.007	0.273	97.5	.	.
g-a-pla-2	Plantago	Autoclaved	.	greenhouse	0.24	pla.auto	g.auto	g.pla	g.pla.auto	sample	116	Autoclaved	Plantago	1	11/21/16	11	1	126	1	11	13.5	0.57	7	20.5	0.732	0.51851852	0.277	0.455	62.15847	.	.
g-a-pla-3	Plantago	Autoclaved	.	greenhouse	0.38	pla.auto	g.auto	g.pla	g.pla.auto	sample	118	Autoclaved	Plantago	2	11/21/16	11	0	.	.	11	10.8	0.41	6.2	17	0.022	0.57407407	.	.	.	.	.
g-a-pla-4	Plantago	Autoclaved	.	greenhouse	0.25	pla.auto	g.auto	g.pla	g.pla.auto	sample	137	Autoclaved	Plantago	7	11/21/16	11	1	7	0	11	14	0.45	7	21	0.149	0.5	0.041	0.108	72.4832215	.	.
g-a-pla-5	Plantago	Autoclaved	.	greenhouse	0.26	pla.auto	g.auto	g.pla	g.pla.auto	sample	115	Autoclaved	Plantago	1	11/21/16	11	1	153	1	11	13.5	0.43	4.5	18	0.029	0.33333333	0.0112	0.0178	61.3793103	.	.
g-a-pla-6	Plantago	Autoclaved	.	greenhouse	0.22	pla.auto	g.auto	g.pla	g.pla.auto	sample	125	Autoclaved	Plantago	4	11/21/16	11	0	.	.	11	11.9	0.45	5.6	17.5	0.074	0.47058824	0.0154	0.0586	79.1891892	.	.
